,,Tot,red,green,date,ED1,ED157,treat_day,treatment
AGR,1,287500,232738.0952,54761.90476,23-Mar,5.48E+04,232738.0952,AGR44278,alive
AGR,2,195000000,157857142.9,37142857.14,23-Mar,3.71E+07,157857142.9,AGR44278,alive
AGR,3,25000000,20238095.24,4761904.762,23-Mar,4.76E+06,20238095.24,AGR44278,alive
ARG,1,75000,33333.33333,41666.66667,23-Mar,3.33E+04,41666.66667,ARG44278,alive
ARG,2,75000,33333.33333,41666.66667,23-Mar,3.33E+04,41666.66667,ARG44278,alive
ARG,3,125000,55555.55556,69444.44444,23-Mar,5.56E+04,69444.44444,ARG44278,carapax
CGR,1,175000000,123846153.8,51153846.15,23-Mar,5.12E+07,123846153.8,CGR44278,carapax
CGR,2,275000000,194615384.6,80384615.38,23-Mar,8.04E+07,194615384.6,CGR44278,carapax
CGR,3,250000000,176923076.9,73076923.08,23-Mar,7.31E+07,176923076.9,CGR44278,carapax
CRG,1,725000000,386666666.7,338333333.3,23-Mar,3.87E+08,338333333.3,CRG44278,carapax
CRG,3,650000000,346666666.7,303333333.3,23-Mar,3.47E+08,303333333.3,CRG44278,gut
GGR,1,63750000,46218750,17531250,23-Mar,1.75E+07,46218750,GGR44278,gut
GGR,2,106250000,77031250,29218750,23-Mar,2.92E+07,77031250,GGR44278,gut
GGR,3,115000000,83375000,31625000,23-Mar,3.16E+07,83375000,GGR44278,gut
GRG,1,77500000,54647435.9,22852564.1,23-Mar,5.46E+07,22852564.1,GRG44278,gut
GRG,2,202500000,142788461.5,59711538.46,23-Mar,1.43E+08,59711538.46,GRG44278,gut
GRG,3,195000000,137500000,57500000,23-Mar,1.38E+08,57500000,GRG44278,alive
LGR,NA,NA,NA,NA,23-Mar,NA,NA,LGR44278,LB
LRG,NA,NA,NA,NA,23-Mar,NA,NA,LRG44278,LB
AGR,1,22500000,20625000,1875000,24-Mar,1.88E+06,20625000,AGR44279,alive
AGR,2,5000000,4583333.333,416666.6667,24-Mar,4.17E+05,4583333.333,AGR44279,alive
AGR,3,10000000,9166666.667,833333.3333,24-Mar,8.33E+05,9166666.667,AGR44279,alive
ARG,1,12500000,10661764.71,1838235.294,24-Mar,1.07E+07,1838235.294,ARG44279,alive
ARG,2,7500000,6397058.824,1102941.176,24-Mar,6.40E+06,1102941.176,ARG44279,alive
ARG,3,15000000,12794117.65,2205882.353,24-Mar,1.28E+07,2205882.353,ARG44279,carapax
CGR,1,400000000,253658536.6,146341463.4,24-Mar,1.46E+08,253658536.6,CGR44279,carapax
CGR,2,1475000000,935365853.7,539634146.3,24-Mar,5.40E+08,935365853.7,CGR44279,carapax
CGR,3,725000000,459756097.6,265243902.4,24-Mar,2.65E+08,459756097.6,CGR44279,carapax
CRG,1,1650000000,1004347826,645652173.9,24-Mar,1.00E+09,645652173.9,CRG44279,carapax
CRG,2,1275000000,776086956.5,498913043.5,24-Mar,7.76E+08,498913043.5,CRG44279,carapax
CRG,3,1550000000,943478260.9,606521739.1,24-Mar,6.07E+08,943478260.9,CRG44279,gut
GGR,1,5000000,4166666.667,833333.3333,24-Mar,8.33E+05,4166666.667,GGR44279,gut
GGR,2,22500000,18750000,3750000,24-Mar,3.75E+06,18750000,GGR44279,gut
GGR,3,25000000,20833333.33,4166666.667,24-Mar,2.08E+07,4166666.667,GGR44279,gut
GRG,1,32500000,19861111.11,12638888.89,24-Mar,1.99E+07,12638888.89,GRG44279,gut
GRG,2,12500000,7638888.889,4861111.111,24-Mar,7.64E+06,4861111.111,GRG44279,gut
GRG,3,25000000,15277777.78,9722222.222,24-Mar,1.53E+07,9722222.222,GRG44279,LB
LGR,1,550000000,405263157.9,144736842.1,24-Mar,1.45E+08,405263157.9,LGR44279,LB
LGR,2,675000000,497368421.1,177631578.9,24-Mar,1.78E+08,497368421.1,LGR44279,LB
LGR,3,525000000,386842105.3,138157894.7,24-Mar,1.38E+08,386842105.3,LGR44279,LB
LRG,1,1150000000,614383561.6,535616438.4,24-Mar,6.14E+08,535616438.4,LRG44279,LB
LRG,2,1475000000,901388888.9,573611111.1,24-Mar,9.01E+08,573611111.1,LRG44279,LB
LRG,3,1050000000,641666666.7,408333333.3,24-Mar,6.42E+08,408333333.3,LRG44279,LB
AGR,1,30000000,22500000,7500000,26-Mar,7.50E+06,22500000,AGR44281,alive
AGR,2,20000000,15000000,5000000,26-Mar,5.00E+06,15000000,AGR44281,alive
AGR,3,0,0,0,26-Mar,0.00E+00,0,AGR44281,alive
ARG,1,1000000,851851.8519,148148.1481,26-Mar,8.52E+05,148148.1481,ARG44281,alive
ARG,2,0,0,0,26-Mar,0.00E+00,0,ARG44281,alive
ARG,3,0,0,0,26-Mar,0.00E+00,0,ARG44281,alive
CGR,1,200000000,166666666.7,33333333.33,26-Mar,3.33E+07,166666666.7,CGR44281,carapax
CGR,2,250000000,208333333.3,41666666.67,26-Mar,4.17E+07,208333333.3,CGR44281,carapax
CGR,3,300000000,250000000,50000000,26-Mar,5.00E+07,250000000,CGR44281,carapax
CRG,1,50000000,35185185.19,14814814.81,26-Mar,3.52E+07,14814814.81,CRG44281,carapax
CRG,2,300000000,211111111.1,88888888.89,26-Mar,2.11E+08,88888888.89,CRG44281,carapax
CRG,3,200000000,140740740.7,59259259.26,26-Mar,5.93E+07,140740740.7,CRG44281,carapax
GGR,1,5000000,3714285.714,1285714.286,26-Mar,1.29E+06,3714285.714,GGR44281,gut
GGR,2,45000000,33428571.43,11571428.57,26-Mar,1.16E+07,33428571.43,GGR44281,gut
GGR,3,10000000,7428571.429,2571428.571,26-Mar,7.43E+06,2571428.571,GGR44281,gut
GRG,1,35000000,23333333.33,11666666.67,26-Mar,2.33E+07,11666666.67,GRG44281,gut
GRG,2,85000000,56666666.67,28333333.33,26-Mar,5.67E+07,28333333.33,GRG44281,gut
GRG,3,0,0,0,26-Mar,0.00E+00,0,GRG44281,gut
LGR,1,2000000000,1513513514,486486486.5,26-Mar,4.86E+08,1513513514,LGR44281,LB
LGR,2,800000000,605405405.4,194594594.6,26-Mar,1.95E+08,605405405.4,LGR44281,LB
LGR,3,750000000,567567567.6,182432432.4,26-Mar,1.82E+08,567567567.6,LGR44281,LB
LRG,1,700000000,422413793.1,277586206.9,26-Mar,4.22E+08,277586206.9,LRG44281,LB
LRG,2,800000000,533333333.3,266666666.7,26-Mar,5.33E+08,266666666.7,LRG44281,LB
LRG,3,1200000000,800000000,400000000,26-Mar,8.00E+08,400000000,LRG44281,LB
AGR,1,160000,139016.3934,20983.60656,28-Mar,20983.60656,139016.3934,AGR44283,alive
AGR,2,0,0,0,28-Mar,0,0,AGR44283,alive
AGR,3,0,0,0,28-Mar,0,0,AGR44283,alive
ARG,1,0,0,0,28-Mar,0,0,ARG44283,alive
ARG,2,2500,2083.333333,416.6666667,28-Mar,2083.333333,416.6666667,ARG44283,alive
ARG,3,25000,20833.33333,4166.666667,28-Mar,20833.33333,4166.666667,ARG44283,alive
CGR,1,50000,43548.3871,6451.612903,28-Mar,6451.612903,43548.3871,CGR44283,carapax
CGR,2,17500000,15241935.48,2258064.516,28-Mar,2258064.516,15241935.48,CGR44283,carapax
CGR,3,5000000,4354838.71,645161.2903,28-Mar,645161.2903,4354838.71,CGR44283,carapax
CRG,1,0,0,0,28-Mar,0,0,CRG44283,carapax
CRG,2,0,0,0,28-Mar,0,0,CRG44283,carapax
CRG,3,0,0,0,28-Mar,0,0,CRG44283,carapax
GGR,1,2250000,1575000,675000,28-Mar,675000,1575000,GGR44283,gut
GGR,2,5500000,3850000,1650000,28-Mar,1650000,3850000,GGR44283,gut
GGR,3,0,0,0,28-Mar,0,0,GGR44283,gut
GRG,1,500000,500000,0,28-Mar,500000,0,GRG44283,gut
GRG,2,0,0,0,28-Mar,0,0,GRG44283,gut
GRG,3,1000000,1000000,0,28-Mar,1000000,0,GRG44283,gut
LGR,1,12500000,9411764.706,3088235.294,28-Mar,3088235.294,9411764.706,LGR44283,LB
LGR,2,5000000,3764705.882,1235294.118,28-Mar,1235294.118,3764705.882,LGR44283,LB
LGR,3,7500000,5647058.824,1852941.176,28-Mar,1852941.176,5647058.824,LGR44283,LB
LRG,1,12500000,7968750,4531250,28-Mar,7968750,4531250,LRG44283,LB
LRG,2,95000000,60562500,34437500,28-Mar,60562500,34437500,LRG44283,LB
LRG,3,62500000,39843750,22656250,28-Mar,39843750,22656250,LRG44283,LB
AGR,1,95000000,40000000,55000000,18-Mar,55000000,40000000,AGR44273,alive
AGR,2,95000000,40000000,55000000,18-Mar,55000000,40000000,AGR44273,alive
AGR,3,95000000,40000000,55000000,18-Mar,55000000,40000000,AGR44273,alive
ARG,1,90000000,45000000,45000000,18-Mar,45000000,45000000,ARG44273,alive
ARG,2,90000000,45000000,45000000,18-Mar,45000000,45000000,ARG44273,alive
ARG,3,90000000,45000000,45000000,18-Mar,45000000,45000000,ARG44273,alive
CGR,1,95000000,40000000,55000000,18-Mar,55000000,40000000,CGR44273,carapax
CGR,2,95000000,40000000,55000000,18-Mar,55000000,40000000,CGR44273,carapax
CGR,3,95000000,40000000,55000000,18-Mar,55000000,40000000,CGR44273,carapax
CRG,1,90000000,45000000,45000000,18-Mar,45000000,45000000,CRG44273,carapax
CRG,2,90000000,45000000,45000000,18-Mar,45000000,45000000,CRG44273,carapax
CRG,3,90000000,45000000,45000000,18-Mar,45000000,45000000,CRG44273,carapax
GGR,1,95000000,40000000,55000000,18-Mar,55000000,40000000,GGR44273,gut
GGR,2,95000000,40000000,55000000,18-Mar,55000000,40000000,GGR44273,gut
GGR,3,95000000,40000000,55000000,18-Mar,55000000,40000000,GGR44273,gut
GRG,1,90000000,45000000,45000000,18-Mar,45000000,45000000,GRG44273,gut
GRG,2,90000000,45000000,45000000,18-Mar,45000000,45000000,GRG44273,gut
GRG,3,90000000,45000000,45000000,18-Mar,45000000,45000000,GRG44273,gut
LGR,1,95000000,40000000,55000000,18-Mar,55000000,40000000,LGR44273,LB
LGR,2,95000000,40000000,55000000,18-Mar,55000000,40000000,LGR44273,LB
LGR,3,95000000,40000000,55000000,18-Mar,55000000,40000000,LGR44273,LB
LRG,1,90000000,45000000,45000000,18-Mar,45000000,45000000,LRG44273,LB
LRG,2,90000000,45000000,45000000,18-Mar,45000000,45000000,LRG44273,LB
LRG,3,90000000,45000000,45000000,18-Mar,45000000,45000000,LRG44273,LB
