time,replica,treatment,events,TT,DT,ReplicaT,strain
release,1,D,44,releaseD,Drelease,1D,ED157
release,3,D,40,releaseD,Drelease,3D,ED157
release,4,D,87,releaseD,Drelease,4D,ED157
release,5,D,50,releaseD,Drelease,5D,ED157
release,1,C,29,releaseC,Crelease,1C,ED157
release,2,C,21,releaseC,Crelease,2C,ED157
release,3,C,34,releaseC,Crelease,3C,ED157
release,4,C,10,releaseC,Crelease,4C,ED157
release,5,C,35,releaseC,Crelease,5C,ED157
release,1,D,166,60C,C60,1D,ED1
release,2,D,80,60C,C60,2D,ED1
release,3,D,48,60C,C60,3D,ED1
release,4,D,106,60C,C60,4D,ED1
release,5,D,36,60C,C60,5D,ED1
release,1,C,34,60C,C60,1C,ED1
release,2,C,51,60C,C60,2C,ED1
release,3,C,33,60C,C60,3C,ED1
release,4,C,36,60C,C60,4C,ED1
release,5,C,35,60C,C60,5C,ED1
