animal,uidA,simple
daph,639.0449438,daph
daph,484.082397,daph
daph,975.6554307,daph
daph,678.3707865,daph
daph,520.5992509,daph
daph,144.241573,daph
daph,246.582397,daph
daph,324.8595506,daph
cop,640.4494382,cop
cop,689.9578652,cop
cop,507.3735955,cop
cop,593.75,cop
cop,658.3567416,cop
cop,667.8370787,cop
cop,599.7191011,cop
cop,651.6853933,cop
cop,840.5898876,cop
10m,0,other
40m,0,other
sed,0,other
stone,0,other
10m,0,other
40m,0,other
sed,0,other
stone,0,other
10m,0,other
40m,0,other
sed,0,other
stone,0,other
10m,0,other
40m,0,other
sed,0,other
stone,0,other
10m,0,other
40m,0,other
sed,0,other
stone,0,other
10m,0,other
40m,0,other
sed,0,other
stone,0,other
